Response,Age,Job,Marital Status,Education,balance,housing,loan
no,34,bluecollar,single,tertiary,1011,yes,no
no,46,management,single,unknown,1527,yes,no
no,42,management,married,tertiary,744,no,no
no,52,admin,married,secondary,484,yes,no
no,29,management,single,tertiary,0,yes,no
no,53,retired,married,primary,136,yes,no
no,43,bluecollar,married,secondary,1335,yes,no
no,38,management,married,secondary,517,yes,no
no,46,management,married,tertiary,459,yes,no
no,48,management,divorced,unknown,549,yes,no
no,30,admin,divorced,secondary,83,yes,yes
no,44,bluecollar,married,primary,213,no,no
no,31,housemaid,married,primary,203,yes,no
no,42,services,single,secondary,518,yes,no
no,40,management,single,tertiary,3877,yes,no
no,52,admin,married,secondary,1236,yes,no
no,45,bluecollar,divorced,secondary,756,yes,no
no,48,bluecollar,married,secondary,157,yes,no
no,45,bluecollar,married,primary,66,yes,no
no,34,bluecollar,married,unknown,245,yes,no
no,34,bluecollar,married,primary,144,yes,no
no,46,bluecollar,married,secondary,71,yes,no
no,49,services,divorced,secondary,505,yes,no
no,50,technician,married,primary,249,yes,no
no,34,admin,single,secondary,0,yes,no
no,40,unemployed,single,secondary,11,yes,no
no,36,admin,married,secondary,639,yes,no
no,59,bluecollar,divorced,unknown,124,yes,no
no,45,bluecollar,married,secondary,82,yes,no
no,36,selfemployed,married,tertiary,107,yes,no
no,56,services,married,secondary,473,yes,no
no,42,services,divorced,secondary,372,yes,yes
no,30,admin,married,secondary,46,yes,no
no,30,student,single,tertiary,34,yes,no
no,47,selfemployed,married,unknown,935,yes,no
no,33,bluecollar,married,secondary,10,yes,no
no,36,admin,married,secondary,106,yes,no
no,39,services,divorced,primary,471,yes,no
no,56,admin,divorced,secondary,778,yes,no
no,39,bluecollar,divorced,unknown,170,yes,no
no,42,technician,married,secondary,315,yes,no
no,52,bluecollar,married,secondary,3165,no,no
no,36,admin,divorced,secondary,131,yes,no
no,47,technician,married,secondary,83,yes,no
no,59,services,divorced,secondary,0,yes,yes
no,57,bluecollar,married,primary,5431,yes,yes
no,38,management,married,unknown,1759,yes,no
no,46,unemployed,married,secondary,125,yes,no
no,34,bluecollar,married,secondary,0,no,no
no,28,services,single,secondary,5090,yes,no
no,38,technician,married,unknown,573,yes,no
no,56,bluecollar,married,secondary,1602,yes,no
no,52,technician,married,unknown,0,no,no
no,54,services,married,secondary,193,no,no
no,61,retired,married,secondary,195,yes,yes
no,53,entrepreneur,married,secondary,288,no,no
no,47,technician,married,secondary,19,yes,no
no,53,bluecollar,married,primary,25,yes,no
no,46,services,married,secondary,216,yes,no
no,39,bluecollar,divorced,primary,190,yes,yes
no,56,technician,divorced,secondary,99,yes,no
no,55,services,divorced,primary,2298,yes,no
no,44,management,married,tertiary,17,yes,no
no,37,technician,married,primary,0,yes,no
no,35,bluecollar,married,primary,0,yes,no
no,55,bluecollar,married,secondary,840,yes,no
no,37,services,married,secondary,358,yes,no
no,30,technician,single,secondary,0,yes,no
no,37,bluecollar,married,primary,325,yes,yes
no,36,technician,single,secondary,15,yes,no
no,38,technician,married,secondary,581,yes,no
no,41,admin,divorced,primary,4070,yes,no
no,48,retired,married,secondary,74,no,yes
no,55,services,divorced,secondary,141,yes,no
no,28,services,divorced,secondary,89,no,no
no,30,bluecollar,married,secondary,450,no,no
no,48,technician,married,tertiary,310,no,no
no,31,selfemployed,married,secondary,0,yes,no
no,38,bluecollar,married,secondary,384,yes,no
no,37,bluecollar,married,secondary,395,yes,no
no,37,services,single,unknown,118,yes,no
no,56,bluecollar,married,primary,5,yes,yes
no,51,bluecollar,married,secondary,50,yes,yes
no,39,bluecollar,married,secondary,285,yes,yes
no,49,technician,married,unknown,15,no,no
no,51,bluecollar,married,primary,653,yes,yes
no,43,selfemployed,married,secondary,918,yes,no
no,32,services,married,secondary,243,yes,yes
no,29,technician,single,tertiary,405,yes,no
no,48,management,divorced,tertiary,1328,yes,no
no,55,services,married,primary,255,yes,no
no,53,bluecollar,married,secondary,3397,yes,no
no,47,technician,married,unknown,2106,yes,no
no,39,management,married,tertiary,2877,yes,no
no,31,bluecollar,single,tertiary,60,yes,yes
no,39,bluecollar,married,primary,2226,yes,no
no,40,bluecollar,married,primary,2880,yes,no
no,40,technician,single,unknown,5,yes,no
no,48,technician,married,secondary,147,no,no
no,33,technician,divorced,secondary,7,yes,yes
no,40,technician,married,secondary,109,yes,no
no,59,retired,married,primary,119,yes,no
no,30,technician,married,secondary,484,yes,no
no,31,management,single,tertiary,1852,yes,no
no,35,unemployed,married,secondary,533,yes,no
no,54,technician,divorced,secondary,21,yes,no
no,34,admin,single,unknown,2434,yes,no
no,32,technician,married,secondary,90,yes,yes
no,56,admin,divorced,unknown,4246,yes,no
no,32,admin,single,tertiary,395,yes,no
no,42,bluecollar,married,primary,15,yes,no
no,33,services,married,tertiary,85,no,no
no,52,entrepreneur,married,tertiary,184,yes,yes
no,52,services,married,secondary,660,no,no
no,30,unemployed,divorced,secondary,1144,yes,no
no,44,services,divorced,secondary,1,yes,no
no,35,admin,married,secondary,69,yes,yes
no,55,management,single,secondary,220,yes,no
no,33,bluecollar,married,primary,332,yes,no
no,37,bluecollar,single,secondary,240,yes,no
no,42,technician,single,secondary,0,yes,no
no,43,unemployed,married,secondary,0,yes,no
no,38,entrepreneur,married,tertiary,898,yes,no
no,37,technician,married,secondary,123,yes,yes
no,31,student,single,secondary,252,yes,no
no,41,management,married,tertiary,65,yes,no
no,41,technician,married,secondary,366,yes,yes
no,29,student,single,secondary,209,yes,no
no,38,admin,single,secondary,221,yes,no
no,44,selfemployed,divorced,tertiary,4,yes,no
no,39,admin,married,secondary,104,yes,no
no,28,technician,single,secondary,312,yes,no
no,33,bluecollar,married,secondary,349,yes,no
no,41,services,married,unknown,4,no,no
no,40,bluecollar,married,primary,322,yes,yes
no,29,admin,married,secondary,150,yes,no
no,38,management,married,unknown,1349,yes,no
no,32,admin,married,tertiary,281,yes,no
no,45,services,married,secondary,1259,yes,no
no,33,admin,single,secondary,101,yes,no
no,34,bluecollar,married,secondary,848,yes,no
no,41,entrepreneur,married,unknown,89,yes,no
no,41,bluecollar,married,secondary,140,yes,no
no,35,admin,single,secondary,148,yes,no
no,40,technician,single,secondary,200,yes,no
no,60,selfemployed,married,primary,46,yes,no
no,47,services,divorced,secondary,201,yes,no
no,46,bluecollar,married,primary,530,yes,no
no,31,bluecollar,single,secondary,0,yes,no
no,49,selfemployed,married,secondary,1,yes,no
no,29,bluecollar,married,secondary,43,yes,no
no,31,management,single,tertiary,173,yes,no
no,38,management,married,tertiary,389,yes,no
no,37,bluecollar,married,primary,215,yes,yes
no,35,technician,married,secondary,131,yes,no
no,31,management,single,secondary,783,yes,no
no,41,admin,married,secondary,0,yes,no
no,46,services,married,unknown,80,yes,no
no,40,services,divorced,secondary,105,yes,no
no,29,admin,married,secondary,182,yes,yes
no,49,admin,married,secondary,82,yes,no
no,42,management,married,tertiary,0,yes,no
no,54,services,married,secondary,510,yes,no
no,40,management,single,tertiary,242,yes,no
no,53,admin,married,secondary,244,yes,yes
no,49,management,married,tertiary,92,yes,no
no,29,student,single,secondary,948,yes,no
no,36,bluecollar,married,primary,23,yes,no
no,37,technician,married,secondary,710,yes,no
no,39,services,married,secondary,1205,yes,no
no,36,technician,married,secondary,368,yes,yes
no,44,entrepreneur,married,tertiary,1631,yes,no
no,40,admin,married,secondary,6,yes,no
no,49,bluecollar,married,secondary,26,yes,no
no,30,technician,single,unknown,48,yes,no
no,57,management,married,tertiary,2142,yes,no
no,24,services,single,secondary,77,yes,yes
no,46,bluecollar,married,unknown,401,yes,no
no,33,admin,married,secondary,21,no,no
no,43,services,divorced,secondary,0,yes,no
no,43,admin,single,secondary,497,yes,no
no,40,bluecollar,divorced,primary,369,no,no
no,44,technician,single,unknown,78,yes,no
no,35,technician,single,tertiary,226,yes,yes
no,47,technician,married,secondary,503,yes,no
no,33,bluecollar,married,secondary,372,yes,no
no,31,admin,married,secondary,0,yes,yes
no,40,bluecollar,divorced,secondary,0,yes,no
no,36,entrepreneur,married,tertiary,125,yes,no
no,56,retired,divorced,primary,4,yes,no
no,40,admin,single,unknown,419,yes,no
no,41,admin,divorced,secondary,322,yes,no
no,53,retired,married,secondary,303,yes,no
no,39,bluecollar,married,secondary,607,yes,no
no,44,bluecollar,divorced,secondary,579,yes,no
no,38,admin,married,secondary,3047,yes,no
no,54,technician,divorced,secondary,83,yes,no
no,58,management,married,tertiary,68,yes,no
no,52,bluecollar,married,primary,58,yes,no
no,28,admin,single,secondary,251,yes,no
no,36,bluecollar,married,secondary,688,yes,no
no,60,retired,married,primary,364,yes,no
no,42,services,divorced,secondary,55,yes,no
no,42,admin,married,secondary,101,yes,no
no,44,management,married,tertiary,105,yes,no
no,51,bluecollar,divorced,primary,325,yes,no
no,49,bluecollar,married,primary,198,yes,no
no,47,entrepreneur,married,unknown,209,yes,no
no,37,bluecollar,married,secondary,183,yes,no
no,34,management,married,tertiary,105,yes,no
no,35,services,married,secondary,109,yes,no
no,35,bluecollar,single,secondary,376,yes,yes
no,40,bluecollar,married,primary,7,yes,no
no,55,technician,married,secondary,0,no,no
no,55,retired,married,secondary,143,yes,no
no,35,management,single,tertiary,550,yes,no
no,57,bluecollar,married,primary,162,yes,no
no,53,management,married,tertiary,115,yes,no
no,41,bluecollar,married,primary,512,yes,no
no,57,bluecollar,married,unknown,807,yes,no
no,45,bluecollar,married,unknown,248,yes,no
no,43,bluecollar,married,primary,1211,yes,no
no,56,selfemployed,married,unknown,7,no,no
no,31,entrepreneur,married,tertiary,281,yes,no
no,37,bluecollar,single,secondary,88,yes,no
no,30,management,married,tertiary,32,yes,no
no,30,admin,single,secondary,115,yes,no
no,54,bluecollar,married,secondary,254,yes,no
no,36,management,married,tertiary,144,yes,no
no,55,unemployed,married,tertiary,383,no,no
no,37,admin,single,secondary,569,yes,yes
no,38,housemaid,married,secondary,0,yes,no
no,48,admin,married,secondary,3754,yes,no
no,55,housemaid,divorced,tertiary,6920,yes,no
no,59,services,married,secondary,307,yes,yes
no,37,technician,married,secondary,421,yes,no
no,33,bluecollar,divorced,secondary,60,no,no
no,44,bluecollar,married,primary,67,yes,no
no,57,technician,married,secondary,402,yes,no
no,30,selfemployed,single,tertiary,800,no,no
no,42,technician,married,tertiary,239,yes,yes
no,51,bluecollar,divorced,secondary,421,yes,no
yes,46,technician,married,secondary,289,no,no
yes,35,bluecollar,married,primary,0,yes,no
yes,35,bluecollar,single,unknown,532,yes,no
yes,54,management,married,tertiary,248,yes,yes
yes,37,management,single,tertiary,45,yes,no
yes,40,bluecollar,married,secondary,94,yes,yes
yes,39,bluecollar,married,secondary,345,yes,no
yes,47,bluecollar,married,secondary,5,yes,no
yes,50,bluecollar,married,primary,354,yes,no
yes,43,technician,married,secondary,313,no,yes
yes,47,bluecollar,married,primary,25,yes,yes
yes,51,selfemployed,married,secondary,34,no,yes
yes,34,bluecollar,single,primary,2,no,yes
yes,52,technician,divorced,tertiary,1014,no,yes
yes,31,housemaid,married,unknown,6,no,yes
yes,41,bluecollar,single,secondary,1085,yes,yes
yes,35,entrepreneur,married,primary,25,no,yes
yes,49,bluecollar,married,primary,354,no,yes
yes,33,bluecollar,single,primary,15,no,yes
yes,26,bluecollar,single,secondary,8019,no,yes
yes,28,unemployed,single,secondary,1270,no,yes
yes,47,bluecollar,married,secondary,594,yes,yes
yes,60,management,married,tertiary,108,no,yes
yes,40,bluecollar,married,primary,23,no,yes
yes,36,bluecollar,single,unknown,395,yes,no
yes,55,technician,divorced,secondary,284,yes,no
yes,59,admin,married,secondary,131,no,no
yes,30,technician,single,secondary,1,no,no
yes,28,bluecollar,single,secondary,87,yes,no
yes,35,bluecollar,single,secondary,177,yes,yes
yes,48,bluecollar,married,secondary,0,yes,yes
yes,30,entrepreneur,married,secondary,388,yes,no
yes,59,management,divorced,tertiary,23,yes,no
yes,37,management,divorced,tertiary,1,yes,yes
yes,34,unemployed,divorced,tertiary,530,yes,no
yes,42,bluecollar,divorced,primary,78,yes,no
yes,27,bluecollar,single,secondary,717,yes,yes
yes,32,management,divorced,tertiary,277,yes,no
yes,45,admin,married,secondary,106,yes,yes
yes,27,bluecollar,married,secondary,584,yes,no
no,44,admin,divorced,secondary,161,yes,no
no,29,student,single,secondary,110,yes,no
no,39,bluecollar,married,primary,245,yes,no
no,42,services,married,secondary,0,yes,no
no,50,bluecollar,married,primary,156,yes,no
no,42,technician,single,secondary,0,yes,no
no,39,admin,married,secondary,20,yes,no
no,55,technician,single,tertiary,92,yes,no
no,46,services,married,secondary,89,yes,no
no,42,bluecollar,married,secondary,166,yes,no
no,45,management,married,tertiary,103,yes,no
no,43,bluecollar,married,primary,454,yes,no
no,42,admin,married,secondary,445,yes,no
no,30,admin,married,secondary,4,no,no
no,47,bluecollar,married,secondary,1001,yes,no
no,51,services,divorced,secondary,69,yes,no
no,38,technician,single,secondary,42,yes,no
no,57,technician,married,unknown,1617,yes,no
no,42,management,divorced,tertiary,221,yes,no
no,32,technician,divorced,secondary,210,yes,yes
no,46,management,married,tertiary,0,no,no
no,29,student,single,tertiary,185,yes,no
no,59,retired,married,secondary,836,yes,no
no,32,bluecollar,single,secondary,301,yes,no
no,44,bluecollar,married,primary,503,yes,no
no,40,retired,married,primary,407,yes,no
no,31,bluecollar,single,secondary,53,yes,no
no,46,selfemployed,married,tertiary,2303,yes,no
no,43,management,married,tertiary,144,yes,no
no,34,services,married,secondary,205,yes,no
no,39,management,married,tertiary,305,yes,no
no,30,bluecollar,divorced,secondary,251,yes,yes
no,56,retired,married,secondary,0,yes,no
no,29,technician,married,secondary,8,no,no
no,40,bluecollar,divorced,secondary,139,yes,no
no,36,services,married,secondary,184,yes,no
no,37,bluecollar,single,secondary,238,yes,no
no,35,admin,married,secondary,0,no,no
no,47,services,married,primary,222,yes,no
no,31,services,married,secondary,414,yes,no
no,56,retired,single,primary,223,yes,no
no,57,technician,married,secondary,197,no,no
no,36,bluecollar,married,secondary,251,yes,no
no,45,selfemployed,divorced,secondary,139,yes,no
no,47,bluecollar,married,unknown,733,yes,no
no,29,technician,single,tertiary,0,yes,no
no,57,services,married,secondary,1,no,no
no,45,bluecollar,married,primary,97,yes,no
no,31,bluecollar,single,primary,435,yes,no
no,31,management,divorced,tertiary,0,yes,no
no,37,technician,single,tertiary,147,no,no
no,30,technician,single,tertiary,3,yes,no
no,58,services,divorced,secondary,1109,yes,yes
no,33,services,married,secondary,404,yes,no
no,39,bluecollar,married,primary,981,yes,no
no,33,bluecollar,single,primary,95,yes,no
no,34,services,married,secondary,302,yes,no
no,36,services,divorced,secondary,290,yes,yes
no,37,services,single,secondary,259,yes,no
no,35,bluecollar,married,secondary,527,yes,yes
no,55,retired,married,secondary,102,yes,no
no,34,management,single,tertiary,872,yes,no
no,40,management,divorced,tertiary,490,yes,no
no,42,bluecollar,single,primary,19,yes,no
no,37,bluecollar,married,secondary,16,yes,no
no,42,management,married,tertiary,386,yes,no
no,35,technician,single,secondary,539,yes,no
no,44,technician,divorced,secondary,329,yes,no
no,30,services,single,secondary,174,yes,no
no,45,entrepreneur,married,secondary,68,yes,no
no,36,admin,divorced,secondary,0,yes,no
no,49,bluecollar,married,secondary,64,yes,no
no,31,bluecollar,single,secondary,1415,yes,no
no,31,technician,single,secondary,147,yes,no
no,39,bluecollar,married,secondary,72,yes,no
no,37,services,single,secondary,196,yes,no
no,33,bluecollar,married,primary,716,yes,no
no,37,management,married,tertiary,0,yes,no
no,42,services,married,secondary,246,yes,no
no,56,bluecollar,married,secondary,203,yes,no
no,37,admin,single,secondary,245,yes,yes
no,36,services,single,secondary,342,yes,no
no,29,technician,single,tertiary,3,yes,no
no,38,bluecollar,married,secondary,376,yes,no
no,43,bluecollar,divorced,secondary,370,yes,no
no,47,admin,single,secondary,594,yes,no
no,47,bluecollar,married,secondary,387,yes,no
no,38,services,married,secondary,208,yes,no
no,40,bluecollar,married,secondary,563,yes,no
no,33,services,divorced,secondary,392,yes,yes
no,33,retired,married,secondary,165,no,no
no,53,admin,divorced,unknown,236,yes,no
no,37,services,married,primary,52,yes,no
no,40,management,single,tertiary,1265,yes,no
no,37,bluecollar,married,primary,693,yes,no
no,35,technician,married,secondary,118,yes,no
no,49,bluecollar,married,primary,3659,yes,no
no,26,bluecollar,single,secondary,24,yes,no
no,38,management,single,tertiary,673,yes,no
no,52,selfemployed,married,secondary,273,no,no
no,33,services,divorced,secondary,327,yes,no
no,31,admin,single,secondary,299,yes,no
no,32,bluecollar,married,secondary,0,yes,no
no,35,bluecollar,single,primary,109,yes,no
no,55,management,divorced,tertiary,552,no,no
no,32,bluecollar,divorced,primary,473,yes,no
no,37,unknown,single,unknown,414,yes,no
no,45,bluecollar,married,secondary,154,yes,no
no,31,technician,married,secondary,344,yes,no
no,38,admin,married,secondary,8,yes,no
no,37,services,married,secondary,78,yes,no
no,38,bluecollar,married,secondary,266,yes,no
no,33,housemaid,married,tertiary,98,yes,yes
no,38,bluecollar,married,primary,83,yes,no
no,29,unemployed,married,tertiary,8,yes,no
no,42,management,married,tertiary,263,yes,no
no,40,bluecollar,married,secondary,306,yes,no
no,32,management,married,tertiary,233,yes,no
no,47,management,divorced,tertiary,447,no,yes
no,29,student,single,secondary,872,yes,no
no,53,services,divorced,primary,291,yes,yes
no,31,services,married,tertiary,309,yes,yes
no,59,bluecollar,married,secondary,202,yes,no
no,29,entrepreneur,married,primary,56,yes,yes
no,59,bluecollar,married,primary,229,yes,yes
no,44,bluecollar,married,primary,143,yes,no
no,38,admin,single,secondary,100,yes,no
no,49,admin,married,secondary,326,yes,no
no,43,bluecollar,married,secondary,167,yes,no
no,52,admin,single,secondary,545,yes,no
no,40,admin,married,secondary,2100,yes,yes
no,32,services,married,secondary,0,yes,yes
no,47,admin,married,primary,192,yes,no
no,33,management,married,tertiary,442,yes,no
no,35,management,married,tertiary,267,yes,no
no,27,services,single,secondary,0,yes,no
no,50,bluecollar,married,primary,377,yes,no
no,44,retired,married,secondary,7624,no,no
no,43,selfemployed,married,primary,66,yes,no
no,51,bluecollar,married,unknown,37,yes,no
no,32,admin,single,secondary,64,yes,no
no,47,management,divorced,tertiary,34,yes,no
no,34,admin,divorced,secondary,627,yes,no
no,57,selfemployed,married,primary,1013,yes,no
no,43,admin,single,secondary,140,yes,no
no,40,services,single,tertiary,8823,yes,no
no,28,bluecollar,single,secondary,97,yes,no
no,38,bluecollar,married,unknown,5,yes,no
no,37,unemployed,divorced,secondary,74,yes,no
no,44,admin,married,secondary,58544,yes,no
no,41,technician,married,secondary,169,yes,no
no,37,selfemployed,married,tertiary,444,yes,no
no,30,services,single,tertiary,542,yes,no
no,32,bluecollar,married,secondary,205,yes,no
no,30,management,single,tertiary,112,yes,no
no,35,services,married,secondary,39,no,no
no,55,bluecollar,married,secondary,1268,yes,no
no,52,bluecollar,married,secondary,98,yes,no
no,33,admin,married,secondary,44,yes,yes
no,55,retired,married,primary,90,yes,yes
no,33,bluecollar,married,secondary,0,no,no
no,54,bluecollar,married,secondary,932,yes,no
no,39,bluecollar,married,primary,20,yes,no
no,49,bluecollar,married,secondary,90,yes,no
no,52,admin,married,secondary,31,yes,no
no,27,management,single,tertiary,134,yes,yes
no,26,services,married,secondary,0,yes,no
no,40,bluecollar,married,secondary,61,yes,no
no,31,services,single,secondary,45,no,no
no,53,bluecollar,single,secondary,156,yes,yes
no,31,services,married,secondary,564,yes,no
no,33,admin,married,secondary,6,yes,no
no,35,services,married,secondary,528,no,no
no,46,entrepreneur,married,unknown,1481,yes,no
no,31,management,married,secondary,2019,no,no
no,35,technician,single,secondary,1855,yes,no
no,29,management,married,secondary,147,yes,yes
no,51,technician,married,secondary,220,yes,no
no,33,bluecollar,married,primary,198,yes,no
no,37,management,married,tertiary,115,no,no
no,43,admin,single,unknown,87,yes,no
no,42,technician,married,tertiary,644,yes,no
no,28,bluecollar,married,secondary,225,yes,yes
no,57,retired,married,secondary,502,yes,no
no,38,services,married,secondary,32,yes,no
no,39,bluecollar,married,primary,106,yes,no
no,36,technician,married,tertiary,301,yes,no
no,57,retired,married,tertiary,906,yes,no
no,44,management,married,unknown,187,yes,no
no,48,services,divorced,secondary,852,yes,yes
no,46,bluecollar,married,primary,143,yes,no
no,43,admin,married,secondary,71,no,no
no,49,services,married,secondary,1496,yes,no
no,29,services,single,secondary,703,yes,no
no,53,bluecollar,married,secondary,732,yes,no
no,30,services,single,secondary,21,yes,no
no,41,management,divorced,secondary,276,yes,no
no,33,technician,married,secondary,0,yes,no
no,47,bluecollar,married,primary,550,yes,no
no,58,retired,married,secondary,268,yes,no
no,31,unemployed,married,secondary,825,yes,no
no,38,admin,single,secondary,137,yes,yes
no,60,retired,married,secondary,42,yes,yes
no,33,management,single,tertiary,54,no,no
no,33,unemployed,single,tertiary,1716,yes,no
no,52,admin,married,primary,270,yes,no
no,42,bluecollar,married,primary,803,yes,no
no,30,technician,single,secondary,102,yes,no
no,33,entrepreneur,divorced,tertiary,188,yes,no
no,46,admin,divorced,secondary,207,yes,no
no,51,bluecollar,married,primary,1466,yes,no
no,40,unemployed,single,secondary,350,yes,no
no,50,admin,married,secondary,159,yes,no
no,42,entrepreneur,married,tertiary,157,yes,yes
no,38,technician,married,secondary,0,no,no
no,36,admin,single,primary,91,yes,no
no,37,unemployed,divorced,primary,849,yes,no
no,33,management,married,tertiary,436,yes,no
no,38,bluecollar,single,secondary,1,yes,no
no,52,bluecollar,married,tertiary,297,yes,no
no,29,bluecollar,married,secondary,313,yes,yes
no,37,bluecollar,married,primary,310,yes,no
no,34,admin,married,secondary,475,yes,no
no,43,bluecollar,married,primary,61,yes,no
no,49,services,married,secondary,1377,yes,no
no,33,technician,single,secondary,56,no,no
no,47,admin,married,unknown,0,yes,no
no,50,technician,married,secondary,73,no,no
no,30,bluecollar,single,primary,660,yes,no
no,44,services,married,primary,79,yes,no
no,44,bluecollar,divorced,secondary,558,yes,no
no,30,services,single,secondary,342,yes,no
no,40,bluecollar,married,unknown,4,yes,no
no,41,bluecollar,married,unknown,225,yes,no
no,34,bluecollar,married,primary,267,yes,no
no,53,services,married,primary,46,yes,no
no,35,bluecollar,married,primary,624,yes,no
no,34,technician,divorced,secondary,1107,yes,yes
no,39,admin,single,secondary,573,yes,no
no,39,management,single,tertiary,406,yes,no
no,52,services,divorced,secondary,220,yes,no
no,34,bluecollar,married,secondary,2308,yes,no
no,37,bluecollar,divorced,primary,139,yes,no
no,39,admin,married,secondary,367,yes,no
no,52,entrepreneur,divorced,primary,278,yes,no
no,35,bluecollar,married,primary,229,yes,no
yes,34,bluecollar,single,secondary,947,yes,no
yes,51,management,married,primary,57,yes,yes
yes,43,bluecollar,married,secondary,7,no,no
yes,26,bluecollar,married,secondary,20,yes,no
yes,33,bluecollar,married,primary,744,yes,no
yes,44,bluecollar,married,secondary,617,yes,no
yes,52,management,single,tertiary,0,no,no
yes,41,unemployed,married,primary,581,yes,no
yes,33,management,married,secondary,879,yes,no
yes,30,technician,married,unknown,315,yes,no
yes,35,management,married,tertiary,89,no,yes
yes,52,entrepreneur,married,tertiary,468,no,no
yes,45,bluecollar,married,secondary,605,yes,no
yes,32,management,married,tertiary,2,no,no
yes,25,bluecollar,single,secondary,220,no,no
yes,27,technician,single,secondary,0,no,yes
yes,33,entrepreneur,married,secondary,54,no,yes
yes,27,management,single,tertiary,0,no,yes
yes,26,services,single,secondary,74,no,no
yes,55,bluecollar,married,secondary,67,no,no
yes,35,selfemployed,married,tertiary,28,no,yes
yes,35,entrepreneur,single,tertiary,793,no,yes
yes,26,bluecollar,single,secondary,81,no,yes
yes,34,technician,single,secondary,2,no,yes
yes,31,admin,single,secondary,4,yes,yes
yes,52,technician,married,secondary,0,no,no
yes,42,bluecollar,married,secondary,29,no,yes
yes,27,admin,single,secondary,110,no,yes
yes,34,management,married,tertiary,38,no,no
yes,46,management,single,tertiary,344,no,no
yes,44,admin,married,secondary,204,yes,no
yes,53,bluecollar,married,secondary,20,yes,no
yes,35,services,married,secondary,182,yes,no
yes,28,management,single,tertiary,1414,yes,no
yes,34,technician,single,tertiary,33,yes,yes
yes,30,admin,single,unknown,1,no,no
yes,35,bluecollar,married,secondary,198,yes,no
yes,29,bluecollar,married,primary,43,yes,no
yes,33,technician,divorced,secondary,305,no,yes
yes,32,bluecollar,married,secondary,1,yes,no
yes,46,technician,single,secondary,1124,yes,yes
yes,28,management,single,unknown,101,yes,no
yes,34,bluecollar,married,secondary,331,yes,yes
yes,38,technician,married,secondary,9,yes,no
yes,57,selfemployed,married,tertiary,3313,yes,yes
yes,29,admin,single,secondary,228,yes,no
yes,31,services,single,secondary,68,yes,no
yes,56,admin,divorced,secondary,435,yes,yes
yes,37,admin,married,secondary,0,no,no
yes,54,management,married,tertiary,153,no,no
yes,53,technician,divorced,secondary,896,no,yes
yes,37,technician,single,secondary,375,no,no
yes,34,bluecollar,married,secondary,1,yes,no
yes,59,retired,married,unknown,114,no,yes
yes,29,admin,divorced,tertiary,0,no,yes
yes,46,technician,married,secondary,4,no,yes
yes,38,management,married,tertiary,327,yes,yes
yes,56,bluecollar,married,primary,160,no,no
yes,47,bluecollar,single,secondary,380,no,no
yes,32,admin,single,secondary,17,no,no
yes,33,bluecollar,married,primary,2,yes,yes
yes,35,unemployed,single,primary,84,no,no
yes,48,management,married,tertiary,0,no,yes
yes,44,unemployed,married,primary,43,yes,no
yes,34,bluecollar,single,primary,81,no,yes
yes,38,entrepreneur,married,secondary,15,yes,no
yes,28,bluecollar,single,secondary,0,no,yes
yes,41,bluecollar,married,primary,76,no,yes
yes,43,selfemployed,married,secondary,1415,no,no
yes,35,bluecollar,divorced,primary,0,yes,no
yes,29,technician,single,secondary,33,no,yes
yes,37,bluecollar,divorced,secondary,54,yes,no
yes,46,bluecollar,married,secondary,319,no,yes
yes,37,unemployed,single,tertiary,0,yes,no
yes,50,services,married,secondary,892,yes,no
yes,52,bluecollar,single,tertiary,517,no,yes
yes,38,selfemployed,single,secondary,0,no,no
yes,42,housemaid,married,primary,16,no,no
yes,31,bluecollar,single,secondary,9,yes,yes
yes,38,bluecollar,married,secondary,10,no,no
yes,51,entrepreneur,single,tertiary,15,no,no
yes,37,bluecollar,married,primary,142,no,no
yes,34,bluecollar,married,secondary,745,yes,yes
yes,44,services,married,secondary,146,yes,no
yes,31,services,single,primary,357,yes,yes
yes,44,management,married,secondary,0,yes,no
yes,46,technician,divorced,secondary,11,no,no
yes,40,technician,married,secondary,32,yes,no
yes,37,technician,married,tertiary,681,yes,yes
yes,35,management,single,tertiary,1980,yes,yes
yes,59,retired,married,primary,13,no,no
yes,31,management,single,secondary,0,no,no
yes,43,selfemployed,married,tertiary,310,yes,no
yes,56,management,married,primary,255,yes,no
yes,57,entrepreneur,divorced,secondary,25,yes,no
yes,54,entrepreneur,married,secondary,401,yes,no
yes,31,selfemployed,married,tertiary,147,yes,no
yes,30,management,divorced,tertiary,1105,yes,no
yes,51,management,single,tertiary,55,yes,no
yes,36,bluecollar,divorced,primary,0,yes,no
yes,42,bluecollar,married,secondary,204,yes,no
yes,53,unemployed,married,secondary,233,yes,no
yes,48,services,single,secondary,470,yes,no
yes,49,admin,married,secondary,15,no,no
yes,49,management,divorced,tertiary,0,yes,no
yes,51,bluecollar,married,primary,283,yes,no
yes,26,management,divorced,tertiary,402,no,yes
yes,28,bluecollar,single,secondary,871,yes,no
yes,30,bluecollar,single,unknown,149,yes,yes
yes,31,entrepreneur,single,tertiary,37,yes,no
yes,47,entrepreneur,married,unknown,1445,yes,no
yes,26,bluecollar,single,secondary,23,yes,no
yes,32,admin,divorced,secondary,18,yes,no
yes,28,unemployed,single,secondary,353,yes,no
yes,57,bluecollar,married,primary,0,yes,no
yes,49,entrepreneur,married,secondary,178,no,yes
